PPG,Serial_No,noise_ppg
-0.488,1,-0.279243619
-0.488,2,-0.405457188
-0.488,3,-0.342359441
-0.488,4,-0.953263236
-0.463,5,-0.65330511
-0.463,6,-0.500932364
-0.463,7,-0.670096799
-0.463,8,-0.570026318
-0.442,9,-0.157780808
-0.442,10,-0.87524145
-0.442,11,-0.409249922
-0.442,12,-0.992849151
-0.413,13,0.073081518
-0.413,14,-0.314119161
-0.413,15,-0.451854271
-0.413,16,-0.217372867
-0.38,17,-0.505238052
-0.38,18,0.074703999
-0.38,19,-0.021765097
-0.38,20,-0.908429594
-0.35,21,0.017211106
-0.35,22,0.10481134
-0.35,23,0.035298844
-0.35,24,-0.707466808
-0.317,25,-0.863528732
-0.317,26,-0.394008816
-0.317,27,-0.177543833
-0.317,28,-0.206422032
-0.288,29,-0.500420516
-0.288,30,-0.53637686
-0.288,31,-0.718292066
-0.288,32,0.183894172
-0.263,33,-0.050679532
-0.263,34,-0.465009178
-0.263,35,-0.191642207
-0.263,36,0.242593814
-0.234,37,0.127149284
-0.234,38,-0.537525311
-0.234,39,-0.58930022
-0.234,40,0.27767465
-0.208,41,-0.681607452
-0.208,42,-0.25024846
-0.208,43,0.042550638
-0.208,44,-0.320266346
-0.183,45,-0.401632217
-0.183,46,-0.431149505
-0.183,47,-0.109383265
-0.183,48,-0.433051427
-0.166,49,-0.520710644
-0.166,50,0.309325546
-0.166,51,0.33102198
-0.166,52,0.081959504
-0.158,53,0.253936787
-0.158,54,-0.70096704
-0.158,55,-0.581838545
-0.158,56,-0.355113
-0.149,57,-0.063599192
-0.149,58,0.067634394
-0.149,59,-0.673465915
-0.149,60,-0.161829123
-0.145,61,-0.107721422
-0.145,62,-0.582032558
-0.145,63,-0.374860952
-0.145,64,-0.295883882
-0.145,65,0.218783602
-0.145,66,-0.666811423
-0.145,67,-0.576146216
-0.145,68,-0.004443557
-0.145,69,-0.495296919
-0.145,70,-0.524719648
-0.145,71,0.378291893
-0.145,72,0.090343778
-0.153,73,-0.532965802
-0.153,74,0.021338127
-0.153,75,-0.243133928
-0.153,76,-0.573148462
-0.158,77,-0.608491168
-0.158,78,-0.181023539
-0.158,79,-0.262077226
-0.158,80,0.072295515
-0.17,81,-0.208962777
-0.17,82,-0.699204745
-0.17,83,-0.200946401
-0.17,84,-0.260423092
-0.174,85,0.299844696
-0.174,86,-0.464278578
-0.174,87,-0.631575855
-0.174,88,-0.07244807
-0.178,89,0.137591149
-0.178,90,-0.077188396
-0.178,91,0.32089242
-0.178,92,-0.623164217
-0.191,93,-0.568763444
-0.191,94,-0.404421334
-0.191,95,0.19309329
-0.191,96,0.120007349
-0.195,97,-0.305042795
-0.195,98,0.318710676
-0.195,99,-0.703138114
-0.195,100,-0.070469031
-0.191,101,0.172552507
-0.191,102,0.307570118
-0.191,103,0.227539274
-0.191,104,0.011636093
-0.182,105,-0.46089057
-0.182,106,-0.144252757
-0.182,107,-0.70389765
-0.182,108,-0.570326047
-0.174,109,0.011184918
-0.174,110,-0.118892168
-0.174,111,-0.200055794
-0.174,112,-0.133359167
-0.149,113,0.372025938
-0.149,114,0.308416453
-0.149,115,-0.222759778
-0.149,116,-0.22229844
-0.129,117,-0.57599464
-0.129,118,-0.028244121
-0.129,119,0.045442774
-0.129,120,-0.252359988
-0.1,121,-0.536873631
-0.1,122,-0.107060845
-0.1,123,-0.162365662
-0.1,124,0.140176913
-0.058,125,0.05116754
-0.058,126,-0.184492452
-0.058,127,-0.167556675
-0.058,128,-0.477081116
-0.017,129,0.407257275
-0.017,130,-0.578142929
-0.017,131,-0.420256273
-0.017,132,-0.513545638
0.033,133,0.524562645
0.033,134,-0.250096799
0.033,135,-0.046046428
0.033,136,0.497972876
0.083,137,0.162275938
0.083,138,-0.233262618
0.083,139,0.04566462
0.083,140,-0.217684698
0.141,141,0.409124912
0.141,142,-0.350505471
0.141,143,0.414178351
0.141,144,0.363171872
0.199,145,0.646314907
0.199,146,0.260000224
0.199,147,0.69453066
0.199,148,0.718337025
0.248,149,0.114895105
0.248,150,0.062643502
0.248,151,0.060749312
0.248,152,0.709759161
0.298,153,0.283511799
0.298,154,0.613791309
0.298,155,0.54405704
0.298,156,0.39489662
0.348,157,0.724062863
0.348,158,0.311494285
0.348,159,0.401967679
0.348,160,-0.18218618
0.389,161,0.015366297
0.389,162,0.316525489
0.389,163,0.350274251
0.389,164,0.307039679
0.426,165,0.169802628
0.426,166,0.151826331
0.426,167,0.690332828
0.426,168,0.513325157
0.456,169,0.504513714
0.456,170,0.183015001
0.456,171,-0.047557287
0.456,172,-0.03164757
0.48,173,0.704449177
0.48,174,-0.006613641
0.48,175,0.857643084
0.48,176,0.115875165
0.497,177,0.903300094
0.497,178,0.393239578
0.497,179,0.202918396
0.497,180,0.949272992
0.513,181,0.331836407
0.513,182,0.647870879
0.513,183,0.123727609
0.513,184,0.743631965
0.517,185,1.031984484
0.517,186,0.497314861
0.517,187,0.303426719
0.517,188,0.61561606
0.509,189,0.03277837
0.509,190,0.764815915
0.509,191,0.24042169
0.509,192,0.585304993
0.509,193,0.829387011
0.509,194,0.391327368
0.509,195,0.309134427
0.509,196,0.71878553
0.497,197,0.583167422
0.497,198,0.612560161
0.497,199,0.95572639
0.497,200,0.20839025
0.48,201,0.998943014
0.48,202,0.505722318
