PPG,Serial_No,noise_ppg
-0.289,1,-0.2799772932769118
-0.289,2,-0.29416745584460446
-0.289,3,-0.29879799313172944
-0.289,4,-0.24824294040878925
-0.308,5,-0.31363439648171015
-0.308,6,-0.25113207862217346
-0.308,7,-0.2465894962296637
-0.308,8,-0.37114130729027817
-0.319,9,-0.2773676492940268
-0.319,10,-0.2607174628348329
-0.319,11,-0.35577138697692323
-0.319,12,-0.3107180140254901
-0.341,13,-0.42046787298235483
-0.341,14,-0.35308760099367925
-0.341,15,-0.3427177093593116
-0.341,16,-0.3177811515030041
-0.355,17,-0.33266486495184483
-0.355,18,-0.28972177191141923
-0.355,19,-0.3636884729851268
-0.355,20,-0.3164284929667281
-0.37,21,-0.3866805203462284
-0.37,22,-0.3821141577509598
-0.37,23,-0.3897673279845879
-0.37,24,-0.38999743697939054
-0.385,25,-0.31631833862166575
-0.385,26,-0.3309628026928095
-0.385,27,-0.369819914114925
-0.385,28,-0.36570682159557566
-0.396,29,-0.4398593645889085
-0.396,30,-0.3209236982996546
-0.396,31,-0.43244495875873
-0.396,32,-0.422838879318281
-0.41,33,-0.4034650989990247
-0.41,34,-0.4445649557743512
-0.41,35,-0.38399824098528407
-0.41,36,-0.4545226080565565
-0.421,37,-0.4366544757449925
-0.421,38,-0.43284354628966076
-0.421,39,-0.43917008496168936
-0.421,40,-0.3685867749774308
-0.44,41,-0.4754939828294998
-0.44,42,-0.44775609160882707
-0.44,43,-0.3986187433046389
-0.44,44,-0.44846926512727303
-0.451,45,-0.5039374416342282
-0.451,46,-0.5001429756054494
-0.451,47,-0.5043661685776558
-0.451,48,-0.4644756195545261
-0.458,49,-0.43318370552428276
-0.458,50,-0.4612842644564462
-0.458,51,-0.45766049577284934
-0.458,52,-0.4185505242609647
-0.466,53,-0.42380235779202063
-0.466,54,-0.46287200768662967
-0.466,55,-0.5090580084849379
-0.466,56,-0.4211062326598622
-0.469,57,-0.4107200557507742
-0.469,58,-0.44048890849000627
-0.469,59,-0.42638408053437626
-0.469,60,-0.5436322672352626
-0.48,61,-0.5210563721725823
-0.48,62,-0.489609473215777
-0.48,63,-0.45553736153885904
-0.48,64,-0.4377842123645803
-0.491,65,-0.4456703035255647
-0.491,66,-0.5174476842148507
-0.491,67,-0.5286339225476384
-0.491,68,-0.431482298914705
-0.491,69,-0.47955814084423115
-0.491,70,-0.424272696100092
-0.491,71,-0.4714780517584798
-0.491,72,-0.5102371958066465
-0.502,73,-0.4930431682217107
-0.502,74,-0.5287519728196971
-0.502,75,-0.496719395183746
-0.502,76,-0.4949563410035236
-0.502,77,-0.4974138573659746
-0.502,78,-0.5861080341988023
-0.502,79,-0.5476561768186416
-0.502,80,-0.41570909779604226
-0.505,81,-0.515479486960232
-0.505,82,-0.48598929758403475
-0.505,83,-0.5348835676691573
-0.505,84,-0.4776776171817687
-0.513,85,-0.5407020656698074
-0.513,86,-0.47643970730429824
-0.513,87,-0.5098452208329766
-0.513,88,-0.5160211829693575
-0.509,89,-0.5449607589889682
-0.509,90,-0.43303518398943275
-0.509,91,-0.5422877370343269
-0.509,92,-0.42056843239281344
-0.509,93,-0.5189742656756529
-0.509,94,-0.48764280762875184
-0.509,95,-0.5140547637400747
-0.509,96,-0.523651669112976
-0.505,97,-0.47631274907696897
-0.505,98,-0.47821739101562916
-0.505,99,-0.47720911977020714
-0.505,100,-0.516676115634717
-0.502,101,-0.5164413442284237
-0.502,102,-0.4800020511101857
-0.502,103,-0.46686825103925084
-0.502,104,-0.47350601958890354
-0.494,105,-0.4477458756746118
-0.494,106,-0.5001057100247933
-0.494,107,-0.5311789834327368
-0.494,108,-0.5147484764067901
-0.483,109,-0.40742516424065345
-0.483,110,-0.49066300647398625
-0.483,111,-0.5963762482681043
-0.483,112,-0.48802248776104235
-0.472,113,-0.49627214459976854
-0.472,114,-0.5012372816241631
-0.472,115,-0.406510460048732
-0.472,116,-0.4918337928576244
-0.466,117,-0.49979352357206486
-0.466,118,-0.48267254259364484
-0.466,119,-0.464175531348731
-0.466,120,-0.4454695770436755
-0.451,121,-0.48871995267638985
-0.451,122,-0.42644005907345406
-0.451,123,-0.40570649722308894
-0.451,124,-0.45730491408235235
-0.44,125,-0.5152486820199734
-0.44,126,-0.4527861391500824
-0.44,127,-0.40219015840425776
-0.44,128,-0.4231916212224105
-0.436,129,-0.4289221692042159
-0.436,130,-0.44674197554453354
-0.436,131,-0.5148728743315478
-0.436,132,-0.38918103629547257
-0.432,133,-0.41406033677049325
-0.432,134,-0.46831633348242846
-0.432,135,-0.40226495814230767
-0.432,136,-0.4320128657361917
-0.432,137,-0.44515117240906443
-0.432,138,-0.4196287368529829
-0.432,139,-0.42796253451582644
-0.432,140,-0.45651862828140327
-0.436,141,-0.45749139095781227
-0.436,142,-0.46218335264251076
-0.436,143,-0.41289538094687545
-0.436,144,-0.3881460216808117
-0.432,145,-0.47717850166734566
-0.432,146,-0.4087261432071147
-0.432,147,-0.45089246689094603
-0.432,148,-0.4329633673397883
-0.436,149,-0.5143973315788846
-0.436,150,-0.4258835391080633
