PPG,Serial_No,noise_ppg,noisew_ppg,filtered_PPG
-0.339,1,-0.3048803781951957,-0.3672567222885335,-0.24271286081775
-0.349,2,-0.38606568573545813,-0.3433556544986468,-0.21504992604554546
-0.349,3,-0.32317050627750193,-0.33166389680580605,-0.28839114993234627
-0.349,4,-0.31028483530675804,-0.3568921312230212,-0.360475350144166
-0.349,5,-0.29579640216985326,-0.32656416675298616,-0.36858859596151405
-0.357,6,-0.3971065002476002,-0.3383844555533659,-0.3411601889860501
-0.357,7,-0.38901365042918196,-0.39305082101249805,-0.3182597103615489
-0.357,8,-0.34061191948354,-0.32983374220996875,-0.3308146121344916
-0.357,9,-0.3722846552681015,-0.32236244943608616,-0.35792045372981235
-0.364,10,-0.43724052512196354,-0.34836697062358396,-0.3750515262751623
-0.364,11,-0.31882388826407165,-0.3357109982444145,-0.36209678105960263
-0.364,12,-0.39282277896106654,-0.398314213848555,-0.3388864881087866
-0.364,13,-0.35469602601308564,-0.37045664580955673,-0.3192135101503873
-0.372,14,-0.37541045467401873,-0.3951048160223546,-0.3144952955253492
-0.372,15,-0.4233341472196329,-0.33849965545562266,-0.31035750394314987
-0.372,16,-0.31837696124107157,-0.3667393150760393,-0.31225986883700324
-0.372,17,-0.3651038155099589,-0.3732961969248908,-0.31631064451726465
-0.38,18,-0.41482655314494676,-0.35386894764650134,-0.32726453031283204
-0.38,19,-0.4275557613556747,-0.35822029766095315,-0.33275369099496116
-0.38,20,-0.3599356877132941,-0.35449929364137556,-0.3403644917279503
-0.38,21,-0.39567515108385287,-0.3421329067192915,-0.3445306224704712
-0.387,22,-0.41245356340707523,-0.38926924274051894,-0.3466033844834216
-0.387,23,-0.37115091068552325,-0.38067658796470505,-0.3364163347290933
-0.387,24,-0.3980699831090192,-0.42075639412888766,-0.32541513382596
-0.387,25,-0.38447356757145246,-0.35305222540243353,-0.3149334410624889
-0.395,26,-0.36289042363805,-0.40110137756278164,-0.31180770897844023
-0.395,27,-0.3839079535715355,-0.43337532728408396,-0.3052344241079001
-0.395,28,-0.4103572820963286,-0.4157103172039788,-0.3055472695580973
-0.395,29,-0.36332925174160235,-0.3914597893842103,-0.31000045907094875
-0.399,30,-0.4467752992447573,-0.411529373369998,-0.3184257267075632
