PPG,Serial_No,noise_ppg(.10),noise_ppg,noise_ppg(0.07)
-0.213,1,-0.202628461,-0.207683629,-0.182085644
-0.223,2,-0.268032065,-0.219131378,-0.2174345
-0.223,3,-0.175101188,-0.222263202,-0.221738899
-0.223,4,-0.299205015,-0.213731591,-0.221972954
-0.223,5,-0.246302868,-0.210766464,-0.173979454
-0.233,6,-0.288864015,-0.227215695,-0.247943955
-0.233,7,-0.209649013,-0.236989778,-0.279441131
-0.233,8,-0.249943044,-0.23080416,-0.217828893
-0.233,9,-0.235017887,-0.242571704,-0.236431758
-0.245,10,-0.232893793,-0.230828554,-0.244584445
-0.245,11,-0.192113615,-0.235865622,-0.253604142
-0.245,12,-0.19958045,-0.241577781,-0.249805904
-0.245,13,-0.292226571,-0.23999366,-0.251247008
-0.252,14,-0.312325402,-0.262787582,-0.258698434
-0.252,15,-0.1980507,-0.2568699,-0.25459575
-0.252,16,-0.264535698,-0.237693655,-0.239197321
-0.252,17,-0.271709416,-0.24733402,-0.230542552
-0.265,18,-0.275680467,-0.269301121,-0.302682212
-0.265,19,-0.214273392,-0.255323014,-0.257275219
-0.265,20,-0.241977737,-0.258688119,-0.249797634
-0.265,21,-0.254649057,-0.271573987,-0.268836315
-0.271,22,-0.243973288,-0.273876741,-0.247436844
-0.271,23,-0.314731402,-0.267180176,-0.279361026
-0.271,24,-0.250336828,-0.269115028,-0.295474765
-0.271,25,-0.300491224,-0.27744237,-0.269340376
-0.283,26,-0.248199168,-0.297094441,-0.271208988
-0.283,27,-0.302713018,-0.278060378,-0.301273195
-0.283,28,-0.268272712,-0.280159996,-0.264651208
-0.283,29,-0.317203508,-0.302307541,-0.299366834
-0.29,30,-0.357264897,-0.29220147,-0.274520359
-0.29,31,-0.308171953,-0.263545099,-0.312011796
-0.29,32,-0.291016075,-0.297019309,-0.253248802
-0.29,33,-0.318630783,-0.279683317,-0.277280141
-0.299,34,-0.273460144,-0.30751858,-0.28374759
-0.299,35,-0.270091028,-0.3034797,-0.293570796
-0.299,36,-0.344361679,-0.295684156,-0.303877813
-0.299,37,-0.334468797,-0.294575438,-0.283693981
-0.316,38,-0.337646893,-0.299411126,-0.285370195
-0.316,39,-0.312359467,-0.310167918,-0.297734077
-0.316,40,-0.259487021,-0.334124436,-0.303676314
-0.316,41,-0.317573671,-0.31000786,-0.337438239
-0.325,42,-0.374876753,-0.325425511,-0.306412214
-0.325,43,-0.304221501,-0.324167586,-0.304954543
-0.325,44,-0.329942228,-0.307530432,-0.340528006
-0.325,45,-0.279371889,-0.342714816,-0.286655231
-0.332,46,-0.322680891,-0.321018999,-0.335779894
-0.332,47,-0.372193469,-0.323639008,-0.348594083
-0.332,48,-0.312785115,-0.328861909,-0.334611883
-0.332,49,-0.274940857,-0.334307838,-0.331869552
-0.344,50,-0.342442824,-0.344906091,-0.335600639
-0.344,51,-0.359630083,-0.323802625,-0.385704733
-0.344,52,-0.374313789,-0.33542767,-0.320963932
-0.344,53,-0.346166813,-0.343222369,-0.363445394
-0.353,54,-0.382924462,-0.35219362,-0.352123456
-0.353,55,-0.35368202,-0.360980726,-0.341038889
-0.353,56,-0.318888281,-0.357797085,-0.379997585
-0.353,57,-0.311083743,-0.373653353,-0.388983797
-0.366,58,-0.397459976,-0.361214193,-0.343258026
