PPG,Serial_No,filtered_data,noise_ppg
-0.518,1,-0.2826436471639823,-0.5753374237218867
-0.509,2,-0.20691555138116963,0.13958702617786956
-0.509,3,-0.27609391088047247,-1.1096404413230987
-0.509,4,-0.38137302795808936,-0.6887008110171073
-0.509,5,-0.4601920925602528,-0.5200485142622364
-0.486,6,-0.4820134564393847,-0.30885914230227385
-0.486,7,-0.487144878717645,-1.042656477829279
-0.486,8,-0.475509831143478,-0.9166336436291518
-0.486,9,-0.4682489713017144,0.164680300889137
-0.46,10,-0.4599832532231144,-0.7357869844533569
-0.46,11,-0.4803109154537227,-0.8113114735391582
-0.46,12,-0.4965424604816547,-0.35652688365685675
-0.46,13,-0.5056103275561579,-0.9714341488794587
-0.432,14,-0.4905639045952331,-0.3351347741978002
-0.432,15,-0.48582394899737236,-0.800789278337481
-0.432,16,-0.4663277681073244,-0.686208306726618
-0.432,17,-0.440055602805413,0.16321972872898233
-0.405,18,-0.3987629602431807,-1.0543020069311515
-0.405,19,-0.3795952901033685,-0.10516961525024804
-0.405,20,-0.3587738777759635,-1.1134096106871867
-0.405,21,-0.3421393708171243,-0.07691737727068271
-0.373,22,-0.31560664677330674,-1.1185355430251325
-0.373,23,-0.31917781093269043,-0.2625478911435455
-0.373,24,-0.32120729278178584,0.015444322645520647
-0.373,25,-0.32566654559488617,0.30708841818057564
-0.345,26,-0.3188056073596357,-0.4420501199666552
-0.345,27,-0.33395674714123824,-0.8706525603151937
-0.345,28,-0.3419464240483723,0.08017763461337368
-0.345,29,-0.34543618139600624,0.2728171938043612
-0.319,30,-0.3317298794839386,-0.7522018874179
-0.319,31,-0.332975916402833,-0.751400189017644
-0.319,32,-0.32412997018684975,-0.2511494216025852
-0.319,33,-0.3101268917810983,-0.21971258319030235
-0.295,34,-0.2816931357804229,-0.6355828578272591
-0.295,35,-0.2705518097456291,-0.30135228269125597
-0.295,36,-0.2549908836334242,-0.1734264054948606
-0.295,37,-0.24020987767193425,-0.8678046181232191
-0.286,38,-0.22469853946794166,0.2514730277667236
-0.286,39,-0.22076911018280124,-0.608613914119404
-0.286,40,-0.21952518877526467,0.07877070175568862
-0.286,41,-0.22153668008265104,-0.12422442901264735
-0.278,42,-0.22216446067138437,-0.20611349226656506
-0.278,43,-0.2302676631666927,0.27329466922820844
-0.278,44,-0.2369224721875088,-0.6178285536335452
-0.278,45,-0.24234200455637647,-0.9011726452005578
-0.273,46,-0.2436967923888316,-1.0653419976213776
-0.273,47,-0.24670654362983552,-0.31119937823775534
-0.273,48,-0.2461427241097741,-0.3870230639052403
-0.273,49,-0.2427313583946051,0.4702018882918171
-0.278,50,-0.23998587104481134,-0.5337611778455884
-0.278,51,-0.23252685032903486,0.15734563701430082
-0.278,52,-0.22585724331871518,-1.0303065628570782
-0.278,53,-0.21976851506944028,-1.0809763224164959
-0.286,54,-0.2187390715252293,0.011896164858228253
-0.286,55,-0.2133896701015333,-0.4314162078025568
-0.286,56,-0.21186567369188783,0.11279010570043185
-0.286,57,-0.2129899509971703,0.4571740229646452
-0.3,58,-0.2234352791958596,0.32147092824285245
-0.3,59,-0.22536699903381827,-0.164621011673374
-0.3,60,-0.23163299748090604,-0.6035636484024334
-0.3,61,-0.23908183343502218,-0.6240490270723622
-0.314,62,-0.25310251425060337,-0.45785007651221926
-0.314,63,-0.25543504049742494,-0.737343606262881
-0.314,64,-0.2592115780264325,-0.24467735518499228
-0.314,65,-0.2620040617919343,-0.5448542016185929
-0.337,66,-0.2750222055074364,0.17087626903549663
-0.337,67,-0.26987374121119884,0.24165879914355753
-0.337,68,-0.2690686395186249,-0.3168476539714237
-0.337,69,-0.2691090121858676,-0.428462587391979
-0.355,70,-0.2778375787226504,-0.8891574235664639
-0.355,71,-0.27292461741572527,-0.4581325474890645
-0.355,72,-0.2723461163388945,-0.48942646529981415
-0.355,73,-0.27373128979656486,-0.4307595490681093
-0.368,74,-0.2826869924696726,0.3904435830149682
-0.368,75,-0.2827501437507368,-0.945479907884887
-0.368,76,-0.28635134157346237,-0.8082416945298347
-0.368,77,-0.2911425183776896,-1.0315289676335424
-0.382,78,-0.30310864635491,-1.0368243582245618
-0.382,79,-0.30427668683538595,-0.01301449845528091
-0.382,80,-0.30779939138067214,0.37480247159637026
-0.382,81,-0.31110312596882955,0.19491935016636663
-0.391,82,-0.31754002594017605,0.28716029790149655
-0.391,83,-0.3156770639718876,-0.4847241957928775
-0.391,84,-0.3145003416653838,0.056107167433466665
-0.391,85,-0.3130228049698449,-0.6220858211020522
-0.387,86,-0.30865044125481506,-0.2661347271405422
-0.387,87,-0.30645387336702695,-0.7980805901719505
-0.387,88,-0.3031059325353772,-0.31387733450945354
-0.387,89,-0.29988071625757995,-0.9648706155064843
-0.373,90,-0.28996853622379204,-0.9843584898720557
-0.373,91,-0.2908095388503328,0.16848175670223597
-0.373,92,-0.2889097080417484,-0.5403533324379295
-0.373,93,-0.28658380517849824,0.11433730016588195
-0.341,94,-0.2677040075304738,0.017208646516275572
-0.341,95,-0.27176938346452195,0.08788123448018031
-0.341,96,-0.26785515144134114,0.17442216286237416
-0.341,97,-0.26145274225947934,0.1902032074673497
-0.295,98,-0.2309289147440841,-0.36506368198633515
-0.295,99,-0.23378302591632455,0.3668600549345982
-0.295,100,-0.22570070516435897,-0.903932386065583
-0.295,101,-0.21450688357844683,0.36000478693814514
-0.236,102,-0.17297283075216932,-0.4986491065871135
-0.236,103,-0.17511454273143282,-0.16782311401205208
-0.236,104,-0.16418142932748503,-0.518667634285745
-0.236,105,-0.1501855508981536,-0.9207818574630193
-0.173,106,-0.10502047408328782,0.5705444512961468
-0.173,107,-0.10789700603529936,-0.09191701242352729
-0.173,108,-0.09785432621438644,-0.37403666850036926
-0.173,109,-0.08502192286858085,-0.40759458591245706
-0.075,110,-0.022116670302522234,0.1176626868463538
-0.075,111,-0.031123021445392224,-0.06848663959603511
-0.075,112,-0.017591277138733766,0.436080231338875
-0.075,113,0.0017465312922633688,0.39870035610599547
0.029,114,0.07317492409718564,0.05365197687840004
0.029,115,0.06602363750550186,-0.5570764051863294
0.029,116,0.08113453807117002,0.3142194302832151
0.029,117,0.10195501989091332,0.4974497865158716
0.136,118,0.17665775454841132,0.7801172260117497
0.136,119,0.17094240153183288,0.6147589514049308
0.136,120,0.18830963048248828,0.8794246923628068
0.136,121,0.2112897714655211,0.26722984511920433
0.248,122,0.2900787060838748,0.836963531060701
0.248,123,0.2839137992378146,0.7064087945445762
0.248,124,0.3010765392498474,-0.17556588208758017
0.248,125,0.32338333508642136,0.810440261027335
0.338,126,0.3887488733680649,-0.46545543475428647
0.338,127,0.38358174132413964,0.20484293431836914
0.338,128,0.39566001655418154,0.2529361454270111
0.338,129,0.41149295414545334,-0.22130961533211418
0.417,130,0.4660437906547624,0.31054489354301756
0.417,131,0.4601870263389126,0.9059483321617743
0.417,132,0.4707355467828502,1.0337814096546998
0.417,133,0.4852657777188804,0.2552998658513839
0.478,134,0.5293695388539407,0.17273542288262556
0.478,135,0.5259545603180567,0.8360875290193529
0.478,136,0.534407050428744,0.5920414547764867
0.478,137,0.5454625479628771,0.8076615517585833
0.52,138,0.5763891086138643,-0.18024565930748593
0.52,139,0.5740534521983026,1.160422596321998
0.52,140,0.5794475897951874,1.2802267613258418
0.52,141,0.5863271531186812,1.2180830600404335
0.539,142,0.6012714298007308,0.3195564929394076
0.539,143,0.5999371649281631,1.2288650501170868
0.539,144,0.6011659605552484,0.7935398718715025
0.539,145,0.6026251553741232,0.6511665813932935
0.539,146,0.6030007188125339,-0.20936891400606294
0.539,147,0.6020357811956571,0.6992435417676979
0.539,148,0.6001173813232544,-0.09411965813335843
0.539,149,0.5978006931814827,0.44943131632436617
0.525,150,0.5878590443053253,1.1420041207390381
0.525,151,0.5876569670455469,0.9347035533770385
0.525,152,0.5838770433836912,0.4036336332006625
0.525,153,0.5791361351770026,-0.015416867339615115
0.497,154,0.5598125013537504,0.3639705701561423
0.497,155,0.5607773777406097,0.7389401170147569
0.497,156,0.5551276729663932,-0.20557539064770614
0.497,157,0.5477335902448955,1.1337481432008136
0.455,158,0.5187345251795524,0.21282500993259507
0.455,159,0.520591725128283,1.1460150337778552
0.455,160,0.5128401172579087,1.0710692924629002
0.455,161,0.5025996455579818,-0.03458782907387992
0.408,162,0.4686777843475456,0.4593352152383539
0.408,163,0.47008121909150136,0.8085777986365352
0.408,164,0.4613514118881194,0.506127248552118
0.408,165,0.4501321743403043,-0.2580770406429292
0.347,166,0.4078777486190368,0.2986519898641986
0.347,167,0.4108532771625598,0.20696297237033623
0.347,168,0.40023828400623357,0.33678320968465436
0.347,169,0.38629549337503033,0.8274090796726298
0.291,170,0.34487553498227674,-0.2161385775183628
0.291,171,0.3465819477349307,-0.03108544776917138
0.291,172,0.3370082672770884,0.2537605623266343
0.291,173,0.32483424176885356,0.13298145719173732
0.225,174,0.2793389524716525,0.35977267478393327
0.225,175,0.2830081770242844,-0.1819777638551052
0.225,176,0.272081905092609,-0.5905902911910984
0.225,177,0.2575514579520425,0.9009398465670393
0.16,178,0.2108214988536699,-0.15889813121184074
0.16,179,0.21369288993707072,0.05388367135969971
0.16,180,0.2031377252893377,0.46250735400993626
0.16,181,0.1894372187906499,-0.00593098041775722
0.094,182,0.14287869410357473,0.06189226159629449
0.094,183,0.14623992446186174,-0.07521165005193584
0.094,184,0.13557366549741884,0.09959592807880871
0.094,185,0.12152874134179491,-0.15705442977882553
0.029,186,0.0752449116715245,-0.643655886712338
0.029,187,0.07842274808015949,0.6644954129436305
0.029,188,0.0680721135702584,-0.6052829538649279
0.029,189,0.0545742525537078,0.1923056991581009
-0.037,190,0.008308242892740025,-0.565856403997138
-0.037,191,0.012096936826620759,0.521789667951615
-0.037,192,0.001986568362778293,-0.7831425339854118
-0.037,193,-0.011416258922700758,0.6414933686588977
-0.098,194,-0.05484529247098769,-0.5472089330090396
-0.098,195,-0.051564280753332296,-0.5900474560938577
-0.098,196,-0.06080121460440123,-0.6688433155410369
-0.098,197,-0.07297156752072101,0.23492608630974574
-0.164,198,-0.11820038441812813,-0.31438513702892723
-0.164,199,-0.11380768218479621,0.26125682876474565
-0.164,200,-0.12364252754894774,-0.39251339330285717
-0.164,201,-0.13690755479675895,-0.6878155802354039
-0.215,202,-0.17472288996594382,-0.6406243260005854
-0.215,203,-0.17255717566348378,-0.5633115913846156
-0.215,204,-0.18013440833604638,-0.7785470510287811
-0.215,205,-0.18984286930491756,-0.24158482197779843
-0.277,206,-0.23090890954289173,0.33075844478521543
-0.277,207,-0.22596146045496415,0.29013051677014556
-0.277,208,-0.23483169646444424,0.27838791555273734
-0.277,209,-0.2470686172580575,-0.4894332068130999
-0.323,210,-0.2812229026923492,-0.8779232000352759
-0.323,211,-0.2789231776361606,-0.3637267062778093
-0.323,212,-0.2851077231464583,-0.19547298054207102
-0.323,213,-0.29310797110918496,-0.9858284281806722
-0.36,214,-0.3191396739083137,-0.3842078271346169
-0.36,215,-0.31675174018323093,-0.5512903493772883
-0.36,216,-0.32194388210378017,-1.1067555423197866
-0.36,217,-0.3289102600148183,-1.076864232475458
-0.398,218,-0.35476452986201024,0.2602728543369499
-0.398,219,-0.3517827975912842,0.30718963630660934
-0.398,220,-0.3567084518332501,-0.07625441041422065
-0.398,221,-0.36337094104192386,0.15262952669314722
-0.421,222,-0.380530211836439,0.20533900705074765
-0.421,223,-0.37891987843202074,-0.8876135656041761
-0.421,224,-0.3811865862209793,-0.7793548674036448
