PPG,Serial_No,noise_ppg
-0.348,1,-0.32104066448845137
-0.348,2,-0.3830883188842436
-0.348,3,-0.32424801951618537
-0.348,4,-0.37919675255465657
-0.36,5,-0.2608885716342318
-0.36,6,-0.3994587955492701
-0.36,7,-0.4063967585252249
-0.36,8,-0.374228117710534
-0.368,9,-0.3599470174177552
-0.368,10,-0.39500969312813294
-0.368,11,-0.41703810901079913
-0.368,12,-0.39602835167808464
-0.381,13,-0.43580959510172756
-0.381,14,-0.413725158585078
-0.381,15,-0.4331709351049069
-0.381,16,-0.36180340846163933
-0.393,17,-0.3769314004072962
-0.393,18,-0.4038496377018687
-0.393,19,-0.3535556928538155
-0.393,20,-0.34925574112424795
-0.405,21,-0.42755702777249177
-0.405,22,-0.3930475333116315
-0.405,23,-0.39818096825587507
-0.405,24,-0.34667946491417956
-0.417,25,-0.45121929227958896
-0.417,26,-0.37534193333813964
-0.417,27,-0.4269604199079558
-0.417,28,-0.4340196593648179
-0.429,29,-0.40278590807512715
-0.429,30,-0.47015777375957896
-0.429,31,-0.4532382432758579
-0.429,32,-0.43833530817790095
-0.438,33,-0.3916203383523288
-0.438,34,-0.3952952266379993
-0.438,35,-0.41588550173926087
-0.438,36,-0.41525027680825355
-0.45,37,-0.41074379960062346
-0.45,38,-0.4563341627447515
-0.45,39,-0.4750816196096231
-0.45,40,-0.4563543179194309
-0.454,41,-0.40776425325958066
-0.454,42,-0.45008869853078637
-0.454,43,-0.4500338170612534
-0.454,44,-0.4320089475983781
-0.466,45,-0.4561790084244788
-0.466,46,-0.38982375425170485
-0.466,47,-0.4425301880335812
-0.466,48,-0.47274268201002545
-0.473,49,-0.48283321143946434
-0.473,50,-0.5279701149616908
-0.473,51,-0.5040883444886344
-0.473,52,-0.48316518781233925
-0.486,53,-0.4832426847398704
-0.486,54,-0.4910750820270134
-0.486,55,-0.47247197956980486
-0.486,56,-0.4775725116546903
-0.486,57,-0.5160194306376131
-0.486,58,-0.48616628667085077
-0.486,59,-0.43193296676890214
-0.486,60,-0.5307423180962508
-0.49,61,-0.5004394954533178
-0.49,62,-0.5244289108130729
-0.49,63,-0.48469826543609845
-0.49,64,-0.47794408945111727
-0.494,65,-0.5180311818359414
-0.494,66,-0.5462841467235119
-0.494,67,-0.5269484404772019
-0.494,68,-0.4361095788780087
-0.486,69,-0.5005088572331791
-0.486,70,-0.5421210129031173
-0.486,71,-0.47252798318461164
-0.486,72,-0.5029060084525223
-0.477,73,-0.5157157464932703
-0.477,74,-0.5108884872076547
-0.477,75,-0.43829137072970725
-0.477,76,-0.5395574276079668
-0.462,77,-0.5284793105776638
-0.462,78,-0.47230010820826507
-0.462,79,-0.4532979452273111
-0.462,80,-0.5122582679268544
-0.433,81,-0.43665513032267167
-0.433,82,-0.40229763940428565
-0.433,83,-0.44078598868934465
-0.433,84,-0.48144109821745645
-0.393,85,-0.4282098092026515
-0.393,86,-0.43364439290040885
-0.393,87,-0.32463680794371935
-0.393,88,-0.4624518844280627
-0.344,89,-0.35189475274011583
-0.344,90,-0.3711790389817632
-0.344,91,-0.3585860645729487
-0.344,92,-0.36381814604653673
-0.287,93,-0.2681110315225004
-0.287,94,-0.23348788157020012
-0.287,95,-0.26914541576635076
-0.287,96,-0.2898104028212216
-0.228,97,-0.23065225336152523
-0.228,98,-0.2143992225236656
-0.228,99,-0.14877534951188032
-0.228,100,-0.2402962955987305
-0.149,101,-0.12222119694395193
-0.149,102,-0.130923493250405
-0.149,103,-0.09291611180910339
-0.149,104,-0.17599830142127804
-0.067,105,-0.07221352056780353
-0.067,106,-0.07611072287685414
-0.067,107,-0.07536968103564266
-0.067,108,-0.08617473333963027
0.021,109,0.06476557291537707
0.021,110,-0.030890666396340635
0.021,111,0.019054861210050355
0.021,112,-0.006235259947794943
0.107,113,0.1310479591496092
0.107,114,0.09854108115253461
0.107,115,0.1016737546768718
0.107,116,0.094729815730502
0.186,117,0.19637129932579828
0.186,118,0.18268463934368048
0.186,119,0.23154850463712057
0.186,120,0.18674177395832295
0.261,121,0.29575920311338566
0.261,122,0.2516233422974882
0.261,123,0.30551843081614816
0.261,124,0.24769250147006316
0.327,125,0.35976972328856593
0.327,126,0.4258824584576092
0.327,127,0.3381996249145351
0.327,128,0.35068399435831704
0.389,129,0.38267281636652073
0.389,130,0.46909510839292073
0.389,131,0.3986473039611181
0.389,132,0.39519331149249654
0.439,133,0.44878103082341464
0.439,134,0.54636879370512
0.439,135,0.46932288715722564
0.439,136,0.5025072861887412
0.476,137,0.5064744874448287
0.476,138,0.4972834388491439
0.476,139,0.414461909377825
0.476,140,0.45957730177415473
0.497,141,0.5013411963348104
0.497,142,0.47437054422011876
0.497,143,0.5041196860750127
0.497,144,0.5120363710966391
0.513,145,0.5125668265520367
0.513,146,0.4978492052067894
0.513,147,0.5890063741982224
0.513,148,0.49846278266396105
0.517,149,0.6039698473974392
0.517,150,0.5005472935493384
0.517,151,0.5058162089238795
0.517,152,0.48971687842504963
0.517,153,0.5355243643901092
0.517,154,0.5262686013408293
0.517,155,0.5264656456104204
0.517,156,0.5550973168842867
0.501,157,0.5651062629272646
0.501,158,0.5236916566571743
0.501,159,0.5398656009851581
0.501,160,0.4989095942868155
0.48,161,0.36834886323089644
0.48,162,0.4983527501238577
0.48,163,0.4904154628994678
0.48,164,0.4543353547666833
0.451,165,0.464466087553503
0.451,166,0.4974260571330091
0.451,167,0.45804247613249366
0.451,168,0.46128041838628564
0.418,169,0.44123646798101107
0.418,170,0.37845636023908735
0.418,171,0.37769056178574356
0.418,172,0.4234538407719713
0.385,173,0.33958914878994473
0.385,174,0.3978678374645761
0.385,175,0.34394788566157103
0.385,176,0.3939965166222764
0.34,177,0.34788471540508253
0.34,178,0.34077008433667755
0.34,179,0.3683661050411022
0.34,180,0.33522488186539284
0.289,181,0.2723789585929388
0.289,182,0.30275361593883116
0.289,183,0.29950368809356814
0.289,184,0.3119987782525912
0.24,185,0.30269744715327224
0.24,186,0.2268813146423994
0.24,187,0.19711565550743074
0.24,188,0.19019857265066903
0.191,189,0.23199822154619518
0.191,190,0.14963014851314724
0.191,191,0.18295563534602946
0.191,192,0.2545982043731425
0.145,193,0.144385579413517
0.145,194,0.21276654457450017
0.145,195,0.10423008477506254
0.145,196,0.1628324363176873
0.095,197,0.07270700099761433
0.095,198,0.14174547127680934
0.095,199,0.04631859091467286
0.095,200,0.015394987719380596
0.053,201,0.09534081186581406
0.053,202,0.06650008217706156
0.053,203,0.09628902635562162
0.053,204,0.06644046616991535
0.013,205,0.015209592303982961
0.013,206,-0.013469678428128724
0.013,207,-0.00183244737631404
0.013,208,0.003452810446013784
-0.029,209,-0.003524194216965107
-0.029,210,-0.035255836492455284
-0.029,211,-0.04724801636016748
-0.029,212,-0.025267619025531624
-0.054,213,-0.03682928103002289
-0.054,214,-0.03928682244519782
-0.054,215,-0.03852086148796731
-0.054,216,-0.03240239393653062
-0.091,217,-0.10549124556641576
-0.091,218,-0.054064547121324386
-0.091,219,-0.049305387832616794
