PPG,Serial_No,noise_ppg
0.619,1,0.639026637
0.587,2,0.538858406
0.587,3,0.592074814
0.587,4,0.64529059
0.587,5,0.557354869
0.537,6,0.58284295
0.537,7,0.570292647
0.537,8,0.546478749
0.537,9,0.510268795
0.474,10,0.454111093
0.474,11,0.458020482
0.474,12,0.460976737
0.474,13,0.447773823
0.415,14,0.443838538
0.415,15,0.409511856
0.415,16,0.420075933
0.415,17,0.47365694
0.361,18,0.349771222
0.361,19,0.406763755
0.361,20,0.422805567
0.361,21,0.304323923
0.293,22,0.277479929
0.293,23,0.347285514
0.293,24,0.280011425
0.293,25,0.306437709
0.23,26,0.236727482
0.23,27,0.16939652
0.23,28,0.257506508
0.23,29,0.224470914
0.167,30,0.143268242
0.167,31,0.199578833
0.167,32,0.158747597
0.167,33,0.162566046
0.108,34,0.074304022
0.108,35,0.143277702
0.108,36,0.138480248
0.108,37,0.109876846
0.041,38,0.109885955
0.041,39,0.04764156
0.041,40,0.013706045
0.041,41,0.09546125
-0.018,42,-0.025826448
-0.018,43,-0.039178465
-0.018,44,-0.031886488
-0.018,45,-0.01845412
-0.082,46,-0.112256607
-0.082,47,-0.110760549
-0.082,48,-0.121466315
-0.082,49,-0.105834856
-0.14,50,-0.163439232
-0.14,51,-0.16724104
-0.14,52,-0.108417288
-0.14,53,-0.152092444
-0.195,54,-0.159410154
-0.195,55,-0.191136974
-0.195,56,-0.242410766
-0.195,57,-0.188811259
-0.244,58,-0.226499987
-0.244,59,-0.33343169
-0.244,60,-0.281275867
-0.244,61,-0.216948152
-0.284,62,-0.262527939
-0.284,63,-0.295808252
-0.284,64,-0.264436671
-0.284,65,-0.28702581
-0.321,66,-0.25924122
-0.321,67,-0.362673293
-0.321,68,-0.301059805
-0.321,69,-0.322617358
-0.352,70,-0.329066951
-0.352,71,-0.357348155
-0.352,72,-0.319069867
-0.352,73,-0.413066447
-0.375,74,-0.34710266
-0.375,75,-0.345333551
-0.375,76,-0.389141035
-0.375,77,-0.354269198
-0.384,78,-0.419913992
-0.384,79,-0.368805679
-0.384,80,-0.354093137
-0.384,81,-0.38926781
-0.389,82,-0.363801651
-0.389,83,-0.354215791
-0.389,84,-0.385451858
-0.389,85,-0.409878268
-0.38,86,-0.356971004
-0.38,87,-0.378583548
-0.38,88,-0.377193657
-0.38,89,-0.372731094
-0.361,90,-0.381845932
-0.361,91,-0.365006129
-0.361,92,-0.426782774
-0.361,93,-0.376398737
-0.348,94,-0.323808739
-0.348,95,-0.367212353
-0.348,96,-0.365412255
-0.348,97,-0.422613863
-0.335,98,-0.315304799
-0.335,99,-0.328804307
-0.335,100,-0.373782638
-0.335,101,-0.300895762
-0.317,102,-0.275195063
-0.317,103,-0.358642249
-0.317,104,-0.370771192
-0.317,105,-0.28249887
-0.293,106,-0.311946991
-0.293,107,-0.291923771
-0.293,108,-0.282254616
-0.293,109,-0.252027007
-0.28,110,-0.31388773
-0.28,111,-0.247602276
-0.28,112,-0.302949365
-0.28,113,-0.273744732
-0.28,114,-0.304733391
-0.28,115,-0.31214097
-0.28,116,-0.231933488
-0.28,117,-0.274730207
-0.28,118,-0.327665462
-0.28,119,-0.238193286
-0.28,120,-0.248667915
-0.28,121,-0.283590243
-0.284,122,-0.279344596
-0.284,123,-0.312415619
-0.284,124,-0.290256412
-0.284,125,-0.326431821
-0.293,126,-0.261490792
-0.293,127,-0.347618844
-0.293,128,-0.359268752
-0.293,129,-0.320408198
-0.312,130,-0.304609019
-0.312,131,-0.338332742
-0.312,132,-0.264611419
-0.312,133,-0.360286432
-0.33,134,-0.280177985
-0.33,135,-0.313733445
-0.33,136,-0.287820412
-0.33,137,-0.306117524
-0.357,138,-0.375094286
-0.357,139,-0.387321125
-0.357,140,-0.32471836
-0.357,141,-0.319757293
-0.389,142,-0.381847638
-0.389,143,-0.412346349
-0.389,144,-0.369410105
-0.389,145,-0.400967387
-0.415,146,-0.402795421
-0.415,147,-0.433911894
-0.415,148,-0.431763524
-0.415,149,-0.45088158
-0.443,150,-0.494533819
-0.443,151,-0.402382547
-0.443,152,-0.480494131
-0.443,153,-0.432166234
-0.466,154,-0.453588048
-0.466,155,-0.464087632
-0.466,156,-0.501922588
-0.466,157,-0.472483293
-0.488,158,-0.440186214
-0.488,159,-0.583630637
-0.488,160,-0.464725915
-0.488,161,-0.464963254
-0.498,162,-0.471411255
-0.498,163,-0.462439934
-0.498,164,-0.479822428
-0.498,165,-0.50180722
-0.498,166,-0.434091304
-0.498,167,-0.513824977
-0.498,168,-0.496166153
-0.498,169,-0.460695834
-0.476,170,-0.478405484
-0.476,171,-0.462878408
-0.476,172,-0.43894691
-0.476,173,-0.51413018
-0.445,174,-0.37329455
-0.445,175,-0.437421174
-0.445,176,-0.463656421
-0.445,177,-0.445044167
-0.388,178,-0.403872468
-0.388,179,-0.340686658
-0.388,180,-0.363279404
-0.388,181,-0.399162183
-0.318,182,-0.340859264
