PPG,Serial_No,noise_ppg
-0.348,1,-0.3034266852089068
-0.348,2,-0.3428809101974344
-0.348,3,-0.26194846766170776
-0.348,4,-0.3253858686315971
-0.36,5,-0.3674802158036878
-0.36,6,-0.3990773496638322
-0.36,7,-0.31242878271858243
-0.36,8,-0.3412178712778241
-0.368,9,-0.3395381914673927
-0.368,10,-0.3307455567124289
-0.368,11,-0.27698403828748924
-0.368,12,-0.3770249923023693
-0.381,13,-0.2845676673429977
-0.381,14,-0.3541428406147653
-0.381,15,-0.37003565449248155
-0.381,16,-0.3471864077591997
-0.393,17,-0.3853371233119721
-0.393,18,-0.35257712390541807
-0.393,19,-0.37757546317786483
-0.393,20,-0.4133425753766221
-0.405,21,-0.4013598639663766
-0.405,22,-0.44905778432869203
-0.405,23,-0.40473706702355744
-0.405,24,-0.41975188599607743
-0.417,25,-0.3971729852464974
-0.417,26,-0.408281987616568
-0.417,27,-0.3756789872800108
-0.417,28,-0.3764288696607968
-0.429,29,-0.4420091157863547
-0.429,30,-0.47319131050219193
-0.429,31,-0.41911855901302375
-0.429,32,-0.3948300048103406
-0.438,33,-0.46916485846626127
-0.438,34,-0.4329083268808566
-0.438,35,-0.5207865780354228
-0.438,36,-0.4560145929592647
-0.45,37,-0.4675609965254775
-0.45,38,-0.40602041299520136
-0.45,39,-0.4788585020707155
-0.45,40,-0.4914916558612281
-0.454,41,-0.45521165787612977
-0.454,42,-0.4619383535676908
-0.454,43,-0.43292981608244296
-0.454,44,-0.4466595649109829
-0.466,45,-0.5023206182537542
-0.466,46,-0.430366937791319
-0.466,47,-0.4726943900078479
-0.466,48,-0.441507747056832
-0.473,49,-0.5105392280529156
-0.473,50,-0.44918393181397914
-0.473,51,-0.5067516781853812
-0.473,52,-0.4423568380801146
-0.486,53,-0.4481363780328521
-0.486,54,-0.4833959173666127
-0.486,55,-0.507166127499475
-0.486,56,-0.4898637358686228
-0.486,57,-0.5319886469678053
-0.486,58,-0.432897563827105
-0.486,59,-0.513356533733022
-0.486,60,-0.5157399416125333
-0.49,61,-0.4826552770618425
-0.49,62,-0.5152288386035012
-0.49,63,-0.4990001965528682
-0.49,64,-0.47661947855195264
